Curso
Curso de Música Moderna - Pop/Rock
Curso Ensino Especializado Secundário de Canto
Curso Jazz - Livre
Curso Livre - Ano Zero
Curso Livre - Cordofones Madeirenses 1-2ºGrau
Curso Livre - Cordofones Madeirenses 3-5ºGrau
Curso Livre - Cordofones Madeirenses 6-8ºGrau
Curso Livre - Cordofones Madeirenses Iniciação
Curso Livre - Formação de Adultos 1-2ºGrau
Curso Livre - Formação de Adultos 3-5ºGrau
Curso Livre - Formação de Adultos 6-8ºGrau
Curso Livre - Jazz
Curso Livre de Direção de Orquestra
Curso Livre em Artes - Canto - Básico
Curso Livre em Artes - Canto - Complementar
Curso Livre em Artes - Canto - Complementar 2
Curso Livre em Artes - Canto - Iniciação
Curso Livre em Artes - Canto - Plano de Desenvolvimento Pessoal
Curso Livre em Artes - Dança - Básico
Curso Livre em Artes - Dança - Complementar
Curso Livre em Artes - Dança - Iniciação
Curso Livre em Artes - Dança - Plano de Desenvolvimento Pessoal
Curso Livre em Artes - Música Moderna - Pop/Rock - Básico
Curso Livre em Artes - Música Moderna - Pop/Rock - Complementar
Curso Livre em Artes - Música Moderna - Pop/Rock - Iniciação
Curso Livre em Artes - Música Moderna - Pop/Rock - Plano de Desenvolvimento Pessoal
Curso Livre em Artes - Música Moderna 2 - Pop/Rock - Básico
Curso Livre em Artes - Teatro - Básico
Curso Livre em Artes - Teatro - Complementar
Curso Livre em Artes - Teatro - Iniciação
Curso Livre em Artes - Teatro - Plano de Desenvolvimento Pessoal
Curso Profissional de Artes do Espectaculo/Interpretação
Curso Profissional de Artes do Espetáculo - Interpretação
Curso Profissional de Instrumentista de Cordas e Teclas
Curso Profissional de Instrumentista de Jazz
Curso Profissional de Instrumentista de Sopros e Percussão
Curso Profissional de Interprete de Dança Contemporânea -
Curso Profissional de Técnico de Animação 2D / 3D
Curso Profissional Interprete de Dança Contemporânea
Curso Profissional Técnico de Multimédia
Cursos Livres em Artes - Curso de Artes Circenses - Básico
Cursos Livres em Artes - Curso de Artes Circenses - Iniciação
Cursos Livres em Artes - Curso de Ateliê Musical Infantil
Cursos Livres em Artes - Curso de Banda Desenhada - Básico
Cursos Livres em Artes - Curso de Banda Desenhada - Iniciação
Cursos Livres em Artes - Curso de Canto - Básico
Cursos Livres em Artes - Curso de Canto - Complementar
Cursos Livres em Artes - Curso de Canto - Iniciação
Cursos Livres em Artes - Curso de Canto - Plano de Desenvolvimento Pessoal
Cursos Livres em Artes - Curso de Canto - Prática de Conjunto
Cursos Livres em Artes - Curso de Cinema de Animação
Cursos Livres em Artes - Curso de Dança - Básico
Cursos Livres em Artes - Curso de Dança - Complementar
Cursos Livres em Artes - Curso de Dança - Iniciação
Cursos Livres em Artes - Curso de Dança - Plano de Desenvolvimento Pessoal
Cursos Livres em Artes - Curso de Dança - Prática de Conjunto
Cursos Livres em Artes - Curso de Expressão Plástica
Cursos Livres em Artes - Curso de Instrumento - Básico
Cursos Livres em Artes - Curso de Instrumento - Básico (ATV2)
Cursos Livres em Artes - Curso de Instrumento - Complementar
Cursos Livres em Artes - Curso de Instrumento - Complementar (ATV2)
Cursos Livres em Artes - Curso de Instrumento - Iniciação
Cursos Livres em Artes - Curso de Instrumento - Iniciação (ATV2)
Cursos Livres em Artes - Curso de Instrumento - Plano de Desenvolvimento Pessoal
Cursos Livres em Artes - Curso de Instrumento - Plano de Desenvolvimento Pessoal (ATV2)
Cursos Livres em Artes - Curso de Instrumento - Prática de Conjunto
Cursos Livres em Artes - Curso de Música Moderna
Cursos Livres em Artes - Curso de Música Moderna - Iniciação
Cursos Livres em Artes - Curso de Musicoterapia - Básico
Cursos Livres em Artes - Curso de Musicoterapia - Iniciação
Cursos Livres em Artes - Curso de Orientações Musicais
Cursos Livres em Artes - Curso de Pratica Coral
Cursos Livres em Artes - Curso de Teatro - Básico
Cursos Livres em Artes - Curso de Teatro - Complementar
Cursos Livres em Artes - Curso de Teatro - Iniciação
Cursos Livres em Artes - Curso de Teatro - Plano de Desenvolvimento Pessoal
Cursos Livres em Artes - Curso de Teatro - Prática de Conjunto
Cursos Livres em Artes - Instrumento - Básico
Cursos Livres em Artes - Instrumento - Complementar
Cursos Livres em Artes - Instrumento - Iniciação
Cursos Livres em Artes - Instrumento - Plano de desenvolvimento pessoal
Cursos Livres em Artes - Instrumento 2 - Básico
Cursos Livres em Artes - Instrumento 2 - Complementar
Cursos Livres em Artes - Instrumento 2 - Iniciação
Cursos Livres em Artes - Instrumento 2 - Plano de desenvolvimento pessoal
Ensemble de Cordas de Machico
Ensemble de Cordofones Madeirenses
Ensino Especializado 1-2ºGrau
Ensino Especializado 3-5ºGrau
Ensino Especializado 6-8ºGrau
Ensino Especializado Teatro 1-2ºGrau
Ensino Especializado Teatro 3-5ºGrau
Iniciação Musical
